,Mouse,Amplitude,Context,Freezing
0,9,0.25mA,Aversive,4.723999999999999
1,10,1.5mA,Aversive,41.512
2,11,0.25mA,Aversive,13.698000000000002
3,12,1.5mA,Aversive,36.077999999999996
4,13,0.25mA,Aversive,3.9899999999999998
5,14,1.5mA,Aversive,34.144
6,15,0.25mA,Aversive,1.8539999999999999
7,16,1.5mA,Aversive,46.68
8,25,0.25mA,Aversive,22.022
9,26,1.5mA,Aversive,59.678
10,27,0.25mA,Aversive,14.0
11,28,1.5mA,Aversive,36.422
12,29,0.25mA,Aversive,18.857999999999997
13,30,1.5mA,Aversive,52.989999999999995
14,31,0.25mA,Aversive,41.722
15,32,1.5mA,Aversive,39.344
