,Mouse,Drug,Motion
0,RL23_1,Saline,119.73499999999999
1,RL23_10,Cocaine,315.565
2,RL23_11,Saline,69.49600000000001
3,RL23_12,Cocaine,170.635
4,RL23_13,Cocaine,275.09900000000005
5,RL23_14,Saline,180.529
6,RL23_15,Cocaine,164.316
7,RL23_16,Saline,155.84300000000002
8,RL23_17,Cocaine,179.932
9,RL23_18,Saline,171.336
10,RL23_19,Cocaine,231.467
11,RL23_2,Cocaine,273.632
12,RL23_20,Saline,120.022
13,RL23_21,Cocaine,366.781
14,RL23_22,Saline,168.34
15,RL23_23,Cocaine,228.73499999999999
16,RL23_24,Saline,187.804
17,RL23_3,Saline,105.65
18,RL23_4,Cocaine,239.468
19,RL23_5,Saline,156.41299999999998
20,RL23_6,Cocaine,264.99699999999996
21,RL23_7,Saline,107.31199999999998
22,RL23_8,Cocaine,151.216
23,RL23_9,Saline,114.525
24,RL24_1,Saline,139.686
25,RL24_10,Cocaine,301.986
26,RL24_11,Saline,121.90799999999999
27,RL24_12,Cocaine,306.26599999999996
28,RL24_13,Saline,172.66199999999998
29,RL24_14,Cocaine,306.21500000000003
30,RL24_15,Saline,117.87899999999999
31,RL24_16,Cocaine,213.606
32,RL24_17,Cocaine,311.053
33,RL24_18,Saline,86.631
34,RL24_19,Cocaine,215.35999999999999
35,RL24_2,Cocaine,229.56300000000002
36,RL24_20,Saline,192.10399999999998
37,RL24_21,Cocaine,319.892
38,RL24_22,Saline,127.95599999999999
39,RL24_23,Cocaine,183.33800000000002
40,RL24_24,Saline,89.08
41,RL24_25,Cocaine,283.56
42,RL24_26,Saline,162.887
43,RL24_27,Cocaine,229.881
44,RL24_28,Saline,131.243
45,RL24_29,Cocaine,264.537
46,RL24_3,Saline,119.24100000000001
47,RL24_30,Saline,143.69
48,RL24_31,Cocaine,247.209
49,RL24_32,Saline,153.628
50,RL24_4,Cocaine,260.70799999999997
51,RL24_5,Saline,205.756
52,RL24_6,Cocaine,321.54499999999996
53,RL24_7,Saline,112.37
54,RL24_8,Cocaine,208.38299999999998
55,RL24_9,Saline,98.997
