,Mouse,Amplitude,Time,Motion
0,RLI9-1,1.5mA,PreShock1,554.5666666666667
1,RLI9-2,1.5mA,PreShock1,1169.15
2,RLI9-3,1.5mA,PreShock1,1662.6
3,RLI9-4,1.5mA,PreShock1,1347.2833333333333
4,RLI9-5,1.5mA,PreShock1,1216.5333333333333
5,RLI9-6,1.5mA,PreShock1,169.95
6,RLI9-7,1.5mA,PreShock1,715.9333333333333
7,RLI9-8,1.5mA,PreShock1,241.65
8,RLI9-1,1.5mA,Shock1,3032.5333333333333
9,RLI9-2,1.5mA,Shock1,3874.133333333333
10,RLI9-3,1.5mA,Shock1,4102.233333333334
11,RLI9-4,1.5mA,Shock1,4193.9
12,RLI9-5,1.5mA,Shock1,3582.9333333333334
13,RLI9-6,1.5mA,Shock1,3904.75
14,RLI9-7,1.5mA,Shock1,4023.4166666666665
15,RLI9-8,1.5mA,Shock1,3671.0
16,RLI9-1,1.5mA,PreShock2,719.85
17,RLI9-2,1.5mA,PreShock2,91.1
18,RLI9-3,1.5mA,PreShock2,1123.2333333333333
19,RLI9-4,1.5mA,PreShock2,677.7
20,RLI9-5,1.5mA,PreShock2,0.5
21,RLI9-6,1.5mA,PreShock2,831.7833333333333
22,RLI9-7,1.5mA,PreShock2,5.516666666666667
23,RLI9-8,1.5mA,PreShock2,737.8833333333333
24,RLI9-1,1.5mA,Shock2,3392.233333333333
25,RLI9-2,1.5mA,Shock2,3571.9
26,RLI9-3,1.5mA,Shock2,3573.4333333333334
27,RLI9-4,1.5mA,Shock2,3681.7833333333333
28,RLI9-5,1.5mA,Shock2,3556.116666666667
29,RLI9-6,1.5mA,Shock2,4152.733333333334
30,RLI9-7,1.5mA,Shock2,3314.15
31,RLI9-8,1.5mA,Shock2,3806.3166666666666
32,RLI9-1,1.5mA,PreShock3,374.3
33,RLI9-2,1.5mA,PreShock3,419.78333333333336
34,RLI9-3,1.5mA,PreShock3,69.65
35,RLI9-4,1.5mA,PreShock3,551.1
36,RLI9-5,1.5mA,PreShock3,0.0
37,RLI9-6,1.5mA,PreShock3,487.06666666666666
38,RLI9-7,1.5mA,PreShock3,4.4
39,RLI9-8,1.5mA,PreShock3,29.7
40,RLI9-1,1.5mA,Shock3,2673.8166666666666
41,RLI9-2,1.5mA,Shock3,3406.0833333333335
42,RLI9-3,1.5mA,Shock3,3308.5333333333333
43,RLI9-4,1.5mA,Shock3,3084.0666666666666
44,RLI9-5,1.5mA,Shock3,2951.3333333333335
45,RLI9-6,1.5mA,Shock3,3414.8333333333335
46,RLI9-7,1.5mA,Shock3,3217.983333333333
47,RLI9-8,1.5mA,Shock3,4172.133333333333
