,Mouse,Amplitude,Ensemble,Activity
0,RLI9-1,1.5mA,Aversive,-0.020982458867418497
1,RLI9-1,1.5mA,Novel,0.001812225939236782
2,RLI9-1,1.5mA,Overlap,0.02256683064403844
3,RLI9-1,1.5mA,Remaining,-0.00605453008525719
4,RLI9-2,1.5mA,Aversive,0.0011531948444937785
5,RLI9-2,1.5mA,Novel,-0.006046094760064155
6,RLI9-2,1.5mA,Overlap,0.034145571294491146
7,RLI9-2,1.5mA,Remaining,-0.023229687989072784
8,RLI9-3,1.5mA,Aversive,0.010687611922465354
9,RLI9-3,1.5mA,Novel,0.012430841833922504
10,RLI9-3,1.5mA,Overlap,0.020668000465812863
11,RLI9-3,1.5mA,Remaining,-0.016375175761138856
12,RLI9-4,1.5mA,Aversive,0.03599156652669428
13,RLI9-4,1.5mA,Novel,0.0055169022605727975
14,RLI9-4,1.5mA,Overlap,0.03223176661220004
15,RLI9-4,1.5mA,Remaining,-0.016648854384294812
16,RLI9-5,1.5mA,Aversive,0.020991172662494756
17,RLI9-5,1.5mA,Novel,0.01493586911819398
18,RLI9-5,1.5mA,Overlap,0.0565008886603832
19,RLI9-5,1.5mA,Remaining,-0.008313624124232977
20,RLI9-6,1.5mA,Aversive,0.022023826639816876
21,RLI9-6,1.5mA,Novel,-0.0006750937473861493
22,RLI9-6,1.5mA,Overlap,0.03300414852364931
23,RLI9-6,1.5mA,Remaining,-0.019506055304559813
24,RLI9-7,1.5mA,Aversive,0.012396377361992108
25,RLI9-7,1.5mA,Novel,0.010118060276030598
26,RLI9-7,1.5mA,Overlap,0.028211624340904132
27,RLI9-7,1.5mA,Remaining,-0.017196371653939134
28,RLI9-8,1.5mA,Aversive,0.03764337729355426
29,RLI9-8,1.5mA,Novel,0.01978474527745456
30,RLI9-8,1.5mA,Overlap,0.03669634476601504
31,RLI9-8,1.5mA,Remaining,-0.016881536150763803
