,Mouse,Amplitude,Bin,EventFrequency
0,RLI9-1,1.5mA,300,13.344444444444445
1,RLI9-1,1.5mA,600,9.566666666666666
2,RLI9-1,1.5mA,900,6.788888888888889
3,RLI9-1,1.5mA,1200,7.2666666666666675
4,RLI9-1,1.5mA,1500,5.655555555555555
5,RLI9-1,1.5mA,1800,3.5666666666666664
6,RLI9-1,1.5mA,2100,2.8444444444444446
7,RLI9-1,1.5mA,2400,2.8444444444444446
8,RLI9-1,1.5mA,2700,1.5555555555555556
9,RLI9-1,1.5mA,3000,2.2333333333333334
10,RLI9-1,1.5mA,3300,2.1444444444444444
11,RLI9-1,1.5mA,3600,1.2222222222222223
0,RLI9-2,1.5mA,300,5.655555555555555
1,RLI9-2,1.5mA,600,6.522222222222222
2,RLI9-2,1.5mA,900,6.2444444444444445
3,RLI9-2,1.5mA,1200,3.988888888888889
4,RLI9-2,1.5mA,1500,4.4111111111111105
5,RLI9-2,1.5mA,1800,5.088888888888889
6,RLI9-2,1.5mA,2100,5.1
7,RLI9-2,1.5mA,2400,3.844444444444445
8,RLI9-2,1.5mA,2700,4.6
9,RLI9-2,1.5mA,3000,3.4666666666666663
10,RLI9-2,1.5mA,3300,4.2555555555555555
11,RLI9-2,1.5mA,3600,3.188888888888889
0,RLI9-3,1.5mA,300,6.066666666666666
1,RLI9-3,1.5mA,600,5.933333333333334
2,RLI9-3,1.5mA,900,6.033333333333333
3,RLI9-3,1.5mA,1200,3.722222222222222
4,RLI9-3,1.5mA,1500,4.6
5,RLI9-3,1.5mA,1800,5.3
6,RLI9-3,1.5mA,2100,3.4666666666666663
7,RLI9-3,1.5mA,2400,3.022222222222222
8,RLI9-3,1.5mA,2700,4.188888888888889
9,RLI9-3,1.5mA,3000,4.311111111111112
10,RLI9-3,1.5mA,3300,4.588888888888889
11,RLI9-3,1.5mA,3600,4.833333333333333
0,RLI9-4,1.5mA,300,7.933333333333334
1,RLI9-4,1.5mA,600,5.988888888888889
2,RLI9-4,1.5mA,900,6.533333333333332
3,RLI9-4,1.5mA,1200,5.0
4,RLI9-4,1.5mA,1500,4.988888888888889
5,RLI9-4,1.5mA,1800,5.677777777777778
6,RLI9-4,1.5mA,2100,3.4666666666666663
7,RLI9-4,1.5mA,2400,3.6222222222222227
8,RLI9-4,1.5mA,2700,2.966666666666667
9,RLI9-4,1.5mA,3000,4.977777777777778
10,RLI9-4,1.5mA,3300,3.0
11,RLI9-4,1.5mA,3600,3.811111111111111
0,RLI9-5,1.5mA,300,6.955555555555555
1,RLI9-5,1.5mA,600,6.588888888888889
2,RLI9-5,1.5mA,900,5.422222222222222
3,RLI9-5,1.5mA,1200,5.644444444444444
4,RLI9-5,1.5mA,1500,4.2555555555555555
5,RLI9-5,1.5mA,1800,5.422222222222222
6,RLI9-5,1.5mA,2100,4.211111111111111
7,RLI9-5,1.5mA,2400,4.522222222222222
8,RLI9-5,1.5mA,2700,3.6222222222222227
9,RLI9-5,1.5mA,3000,2.522222222222222
10,RLI9-5,1.5mA,3300,3.2
11,RLI9-5,1.5mA,3600,2.7333333333333334
0,RLI9-6,1.5mA,300,5.0
1,RLI9-6,1.5mA,600,4.133333333333333
2,RLI9-6,1.5mA,900,5.2
3,RLI9-6,1.5mA,1200,3.8666666666666667
4,RLI9-6,1.5mA,1500,4.7444444444444445
5,RLI9-6,1.5mA,1800,4.9
6,RLI9-6,1.5mA,2100,4.777777777777778
7,RLI9-6,1.5mA,2400,4.155555555555555
8,RLI9-6,1.5mA,2700,5.366666666666667
9,RLI9-6,1.5mA,3000,2.555555555555556
10,RLI9-6,1.5mA,3300,6.277777777777778
11,RLI9-6,1.5mA,3600,3.2
0,RLI9-7,1.5mA,300,4.777777777777778
1,RLI9-7,1.5mA,600,5.955555555555556
2,RLI9-7,1.5mA,900,5.577777777777778
3,RLI9-7,1.5mA,1200,4.911111111111111
4,RLI9-7,1.5mA,1500,5.422222222222222
5,RLI9-7,1.5mA,1800,5.188888888888889
6,RLI9-7,1.5mA,2100,3.5666666666666664
7,RLI9-7,1.5mA,2400,6.5
8,RLI9-7,1.5mA,2700,3.711111111111111
9,RLI9-7,1.5mA,3000,4.011111111111111
10,RLI9-7,1.5mA,3300,3.2444444444444445
11,RLI9-7,1.5mA,3600,4.3999999999999995
0,RLI9-8,1.5mA,300,7.488888888888889
1,RLI9-8,1.5mA,600,7.555555555555555
2,RLI9-8,1.5mA,900,5.377777777777778
3,RLI9-8,1.5mA,1200,4.033333333333333
4,RLI9-8,1.5mA,1500,5.5
5,RLI9-8,1.5mA,1800,4.811111111111111
6,RLI9-8,1.5mA,2100,4.5777777777777775
7,RLI9-8,1.5mA,2400,4.333333333333334
8,RLI9-8,1.5mA,2700,2.7666666666666666
9,RLI9-8,1.5mA,3000,3.5999999999999996
10,RLI9-8,1.5mA,3300,2.577777777777778
11,RLI9-8,1.5mA,3600,4.766666666666667
