,Mouse,Amplitude,Ensemble,CellProportion
0,RLI5-1,0.25mA,Neutral Only,8.015267175572518
1,RLI5-1,0.25mA,Aversive Only,6.615776081424936
2,RLI5-1,0.25mA,Overlap,17.048346055979643
3,RLI5-1,0.25mA,Remaining,68.32061068702289
4,RLI5-2,1.5mA,Neutral Only,10.526315789473683
5,RLI5-2,1.5mA,Aversive Only,8.552631578947368
6,RLI5-2,1.5mA,Overlap,20.0
7,RLI5-2,1.5mA,Remaining,60.921052631578945
8,RLI5-3,0.25mA,Neutral Only,9.908536585365853
9,RLI5-3,0.25mA,Aversive Only,12.347560975609756
10,RLI5-3,0.25mA,Overlap,25.152439024390244
11,RLI5-3,0.25mA,Remaining,52.59146341463414
12,RLI5-4,1.5mA,Neutral Only,9.680589680589682
13,RLI5-4,1.5mA,Aversive Only,6.2899262899262895
14,RLI5-4,1.5mA,Overlap,15.626535626535626
15,RLI5-4,1.5mA,Remaining,68.40294840294841
16,RLI5-5,0.25mA,Neutral Only,8.094435075885329
17,RLI5-5,0.25mA,Aversive Only,5.564924114671164
18,RLI5-5,0.25mA,Overlap,15.682967959527824
19,RLI5-5,0.25mA,Remaining,70.65767284991568
20,RLI5-6,1.5mA,Neutral Only,2.268041237113402
21,RLI5-6,1.5mA,Aversive Only,1.8556701030927836
22,RLI5-6,1.5mA,Overlap,3.917525773195876
23,RLI5-6,1.5mA,Remaining,91.95876288659794
24,RLI5-7,0.25mA,Neutral Only,4.104477611940299
25,RLI5-7,0.25mA,Aversive Only,11.194029850746269
26,RLI5-7,0.25mA,Overlap,20.149253731343283
27,RLI5-7,0.25mA,Remaining,64.55223880597015
28,RLI5-8,1.5mA,Neutral Only,8.586762075134168
29,RLI5-8,1.5mA,Aversive Only,7.78175313059034
30,RLI5-8,1.5mA,Overlap,14.132379248658319
31,RLI5-8,1.5mA,Remaining,69.49910554561717
32,RLI5-9,0.25mA,Neutral Only,4.976303317535545
33,RLI5-9,0.25mA,Aversive Only,2.843601895734597
34,RLI5-9,0.25mA,Overlap,8.293838862559241
35,RLI5-9,0.25mA,Remaining,83.88625592417061
36,RLI6-1,0.25mA,Neutral Only,5.063291139240507
37,RLI6-1,0.25mA,Aversive Only,3.1645569620253164
38,RLI6-1,0.25mA,Overlap,2.2151898734177213
39,RLI6-1,0.25mA,Remaining,89.55696202531645
40,RLI6-2,1.5mA,Neutral Only,9.79020979020979
41,RLI6-2,1.5mA,Aversive Only,8.566433566433567
42,RLI6-2,1.5mA,Overlap,27.797202797202797
43,RLI6-2,1.5mA,Remaining,53.84615384615385
44,RLI6-4,1.5mA,Neutral Only,7.0342205323193925
45,RLI6-4,1.5mA,Aversive Only,6.273764258555133
46,RLI6-4,1.5mA,Overlap,16.34980988593156
47,RLI6-4,1.5mA,Remaining,70.34220532319392
48,RLI6-6,1.5mA,Neutral Only,11.511299435028247
49,RLI6-6,1.5mA,Aversive Only,5.649717514124294
50,RLI6-6,1.5mA,Overlap,16.031073446327685
51,RLI6-6,1.5mA,Remaining,66.80790960451978
52,RLI6-10,0.25mA,Neutral Only,6.772009029345373
53,RLI6-10,0.25mA,Aversive Only,6.094808126410835
54,RLI6-10,0.25mA,Overlap,16.252821670428894
55,RLI6-10,0.25mA,Remaining,70.8803611738149
56,RLI6-11,1.5mA,Neutral Only,6.824146981627297
57,RLI6-11,1.5mA,Aversive Only,6.561679790026247
58,RLI6-11,1.5mA,Overlap,19.42257217847769
59,RLI6-11,1.5mA,Remaining,67.19160104986877
