,Mouse,Amplitude,RecallSession,Ensemble,FractionActive
2,RLI5-1,0.25mA,Neutral,Overlap,31.336405529953915
2,RLI5-1,0.25mA,Novel,Overlap,27.30696798493409
2,RLI5-2,1.5mA,Neutral,Overlap,34.2560553633218
2,RLI5-2,1.5mA,Novel,Overlap,28.0561122244489
2,RLI5-4,1.5mA,Neutral,Overlap,26.965174129353237
2,RLI5-4,1.5mA,Novel,Overlap,21.381031613976706
2,RLI5-5,0.25mA,Neutral,Overlap,21.62849872773537
2,RLI5-5,0.25mA,Novel,Overlap,18.30065359477124
2,RLI5-6,1.5mA,Neutral,Overlap,10.762331838565023
2,RLI5-6,1.5mA,Novel,Overlap,7.851239669421488
2,RLI5-7,0.25mA,Neutral,Overlap,21.830985915492956
2,RLI5-7,0.25mA,Novel,Overlap,25.63176895306859
2,RLI5-8,1.5mA,Neutral,Overlap,25.995807127882596
2,RLI5-8,1.5mA,Novel,Overlap,18.30985915492958
2,RLI5-9,0.25mA,Neutral,Overlap,15.555555555555555
2,RLI5-9,0.25mA,Novel,Overlap,14.726027397260275
2,RLI6-1,0.25mA,Neutral,Overlap,5.797101449275362
2,RLI6-1,0.25mA,Novel,Overlap,3.6585365853658534
2,RLI6-2,1.5mA,Neutral,Overlap,34.84573502722323
2,RLI6-2,1.5mA,Novel,Overlap,30.333333333333336
2,RLI6-4,1.5mA,Neutral,Overlap,22.96747967479675
2,RLI6-4,1.5mA,Novel,Overlap,19.72318339100346
2,RLI6-6,1.5mA,Neutral,Overlap,30.0187617260788
2,RLI6-6,1.5mA,Novel,Overlap,25.958188153310104
2,RLI6-10,0.25mA,Neutral,Overlap,20.577617328519857
2,RLI6-10,0.25mA,Novel,Overlap,22.900763358778626
2,RLI6-11,1.5mA,Neutral,Overlap,42.138364779874216
2,RLI6-11,1.5mA,Novel,Overlap,37.85310734463277
