,Mouse,EnsembleCombo,Fraction
3,RLI12-1,Overlap x Neutral,18.48662513741297
4,RLI12-1,Overlap x Aversive,12.422132649322096
5,RLI12-1,Neutral x Aversive,5.844631733235618
6,RLI12-1,Overlap x Neutral x Aversive,18.449981678270426
3,RLI12-2,Overlap x Neutral,17.521613832853024
4,RLI12-2,Overlap x Aversive,8.760806916426512
5,RLI12-2,Neutral x Aversive,7.627281460134486
6,RLI12-2,Overlap x Neutral x Aversive,18.001921229586937
3,RLI12-3,Overlap x Neutral,16.9905714835482
4,RLI12-3,Overlap x Aversive,10.563786800076967
5,RLI12-3,Neutral x Aversive,8.293246103521263
6,RLI12-3,Overlap x Neutral x Aversive,24.552626515297288
3,RLI12-4,Overlap x Neutral,20.714834742505765
4,RLI12-4,Overlap x Aversive,13.72021521906226
5,RLI12-4,Neutral x Aversive,6.86010760953113
6,RLI12-4,Overlap x Neutral x Aversive,13.604919292851653
3,RLI12-5,Overlap x Neutral,20.3227045716481
4,RLI12-5,Overlap x Aversive,14.79062620053784
5,RLI12-5,Neutral x Aversive,7.337687283903188
6,RLI12-5,Overlap x Neutral x Aversive,15.751056473300038
