,Mouse,Amplitude,SleepState,Proportion
0,Ca_EEG_Pilot1,1.5mA,nrem,49.35353816210205
1,Ca_EEG_Pilot1,1.5mA,wake,46.6842763798137
2,Ca_EEG_Pilot1,1.5mA,rem,3.962185458084248
0,Ca_EEG_Pilot2,1.5mA,nrem,52.22222222222223
1,Ca_EEG_Pilot2,1.5mA,wake,43.48611111111111
2,Ca_EEG_Pilot2,1.5mA,rem,4.291666666666667
0,Ca_EEG2-1,1.5mA,wake,60.94444444444444
1,Ca_EEG2-1,1.5mA,nrem,33.763888888888886
2,Ca_EEG2-1,1.5mA,rem,5.291666666666667
0,Ca_EEG2-2,1.5mA,nrem,56.91666666666667
1,Ca_EEG2-2,1.5mA,wake,36.76388888888889
2,Ca_EEG2-2,1.5mA,rem,6.319444444444445
0,Ca_EEG2-3,1.5mA,wake,51.041666666666664
1,Ca_EEG2-3,1.5mA,nrem,43.34722222222222
2,Ca_EEG2-3,1.5mA,rem,5.611111111111111
0,Ca_EEG3-1,0.25mA,wake,54.75
1,Ca_EEG3-1,0.25mA,nrem,40.13888888888889
2,Ca_EEG3-1,0.25mA,rem,5.111111111111112
0,Ca_EEG3-2,0.25mA,nrem,56.46371976647207
1,Ca_EEG3-2,0.25mA,wake,36.26633305532388
2,Ca_EEG3-2,0.25mA,rem,7.269947178204059
0,Ca_EEG3-3,0.25mA,nrem,54.82705931379358
1,Ca_EEG3-3,0.25mA,wake,38.42200305598
2,Ca_EEG3-3,0.25mA,rem,6.750937630226421
0,Ca_EEG3-4,0.25mA,nrem,47.88850174216028
1,Ca_EEG3-4,0.25mA,wake,38.35540069686411
2,Ca_EEG3-4,0.25mA,rem,13.756097560975611
