,Mouse,Amplitude,Ensemble,Fraction
0,RLI5-1,LowShock,Overlap,3.01274960703266
1,RLI5-1,LowShock,Neutral,3.3533213017406998
2,RLI5-1,LowShock,Aversive,3.3746676757679848
0,RLI5-2,HighShock,Overlap,2.9715237044350236
1,RLI5-2,HighShock,Neutral,2.9986255492963196
2,RLI5-2,HighShock,Aversive,2.0723232088584314
0,RLI5-3,LowShock,Overlap,3.100827792102049
1,RLI5-3,LowShock,Neutral,3.132815074733924
2,RLI5-3,LowShock,Aversive,2.661729639609949
0,RLI5-4,HighShock,Overlap,1.6953906265111511
1,RLI5-4,HighShock,Neutral,1.830789763825219
2,RLI5-4,HighShock,Aversive,2.3675506296059883
0,RLI5-5,LowShock,Overlap,2.191229247512619
1,RLI5-5,LowShock,Neutral,3.1540863070055143
2,RLI5-5,LowShock,Aversive,3.42057401842072
0,RLI5-6,HighShock,Overlap,1.698952503946047
1,RLI5-6,HighShock,Neutral,1.5803319462381022
2,RLI5-6,HighShock,Aversive,1.4904099105562731
0,RLI5-7,LowShock,Overlap,2.8318891148659717
1,RLI5-7,LowShock,Neutral,1.834269906599709
2,RLI5-7,LowShock,Aversive,3.1316568189923566
0,RLI5-8,HighShock,Overlap,2.3858233964616944
1,RLI5-8,HighShock,Neutral,2.742381731743434
2,RLI5-8,HighShock,Aversive,3.141805003507131
0,RLI5-9,LowShock,Overlap,2.6057539340271787
1,RLI5-9,LowShock,Neutral,1.6167366262242924
2,RLI5-9,LowShock,Aversive,1.2554386368428114
0,RLI6-1,LowShock,Overlap,3.3974996586897586
1,RLI6-1,LowShock,Neutral,2.979150820119751
2,RLI6-1,LowShock,Aversive,2.8699315429173247
0,RLI6-2,HighShock,Overlap,2.873331024664281
1,RLI6-2,HighShock,Neutral,2.7896417715187196
2,RLI6-2,HighShock,Aversive,2.774250644503444
0,RLI6-4,HighShock,Overlap,3.0046127700898277
1,RLI6-4,HighShock,Neutral,3.1823258072347658
2,RLI6-4,HighShock,Aversive,3.083272638990046
0,RLI6-6,HighShock,Overlap,1.9026148808193488
1,RLI6-6,HighShock,Neutral,2.0454567538941415
2,RLI6-6,HighShock,Aversive,2.7557792655789957
0,RLI6-10,LowShock,Overlap,2.795227940752694
1,RLI6-10,LowShock,Neutral,2.4955333986513746
2,RLI6-10,LowShock,Aversive,2.5012967552302463
0,RLI6-11,HighShock,Overlap,3.257953609994673
1,RLI6-11,HighShock,Neutral,2.548060626604039
2,RLI6-11,HighShock,Aversive,3.364485981308411
