,Mouse,Amplitude,Ensemble,DiffFraction
0,RLI5-1,LowShock,Aversive Only,-1.8259609292960874
0,RLI5-2,HighShock,Aversive Only,0.251021073288447
0,RLI5-4,HighShock,Aversive Only,3.5669406710209337
0,RLI5-5,LowShock,Aversive Only,-0.6469424071579448
0,RLI5-6,HighShock,Aversive Only,-2.021643256865434
0,RLI5-7,LowShock,Aversive Only,-1.412264198911883
0,RLI5-8,HighShock,Aversive Only,2.3090323914134707
0,RLI5-9,LowShock,Aversive Only,2.6244835833876925
0,RLI6-1,LowShock,Aversive Only,5.761753269706611
0,RLI6-10,LowShock,Aversive Only,-1.6204150246644797
0,RLI6-11,HighShock,Aversive Only,0.7675087943716026
0,RLI6-2,HighShock,Aversive Only,-0.06261343012704046
0,RLI6-4,HighShock,Aversive Only,0.14136214026500138
0,RLI6-6,HighShock,Aversive Only,2.854462610560173
1,RLI5-1,LowShock,Neutral Only,3.2366546035217425
1,RLI5-2,HighShock,Neutral Only,4.148088564672598
1,RLI5-4,HighShock,Neutral Only,0.6584382579614427
1,RLI5-5,LowShock,Neutral Only,3.1698514859718268
1,RLI5-6,HighShock,Neutral Only,2.559018641366787
1,RLI5-7,LowShock,Neutral Only,-0.4499923730106268
1,RLI5-8,HighShock,Neutral Only,0.924203501934036
1,RLI5-9,LowShock,Neutral Only,-0.20765383779082391
1,RLI6-1,LowShock,Neutral Only,1.6436903499469775
1,RLI6-10,LowShock,Neutral Only,2.6910463802463678
1,RLI6-11,HighShock,Neutral Only,3.1659737767828577
1,RLI6-2,HighShock,Neutral Only,1.3191167574107698
1,RLI6-4,HighShock,Neutral Only,1.3475117450136427
1,RLI6-6,HighShock,Neutral Only,1.9029750737067808
2,RLI5-1,LowShock,Overlap,4.0294375450198245
2,RLI5-2,HighShock,Overlap,6.1999431388729
2,RLI5-4,HighShock,Overlap,5.584142515376531
2,RLI5-5,LowShock,Overlap,3.3278451329641285
2,RLI5-6,HighShock,Overlap,2.9110921691435356
2,RLI5-7,LowShock,Overlap,-3.800783037575634
2,RLI5-8,HighShock,Overlap,7.6859479729530165
2,RLI5-9,LowShock,Overlap,0.8295281582952807
2,RLI6-1,LowShock,Overlap,2.138564863909509
2,RLI6-10,LowShock,Overlap,-2.323146030258769
2,RLI6-11,HighShock,Overlap,4.285257435241448
2,RLI6-2,HighShock,Overlap,4.512401693889892
2,RLI6-4,HighShock,Overlap,3.2442962837932896
2,RLI6-6,HighShock,Overlap,4.060573572768696
